"filename", "language", "JSON", "JSON with Comments", "TypeScript JSX", "TypeScript", "JavaScript", "SCSS", "HTML", "comment", "blank", "total"
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\.prettierrc", "JSON", 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\build\bundle.js", "JavaScript", 0, 0, 0, 0, 76225, 0, 0, 17459, 13504, 107188
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\build\index.html", "HTML", 0, 0, 0, 0, 0, 0, 11, 0, 1, 12
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\build\reactPlayerDailyMotion.bundle.js", "JavaScript", 0, 0, 0, 0, 143, 0, 0, 8, 5, 156
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\build\reactPlayerFacebook.bundle.js", "JavaScript", 0, 0, 0, 0, 144, 0, 0, 8, 5, 157
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\build\reactPlayerFilePlayer.bundle.js", "JavaScript", 0, 0, 0, 0, 372, 0, 0, 9, 5, 386
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\build\reactPlayerKaltura.bundle.js", "JavaScript", 0, 0, 0, 0, 141, 0, 0, 8, 5, 154
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\build\reactPlayerMixcloud.bundle.js", "JavaScript", 0, 0, 0, 0, 129, 0, 0, 8, 5, 142
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\build\reactPlayerMux.bundle.js", "JavaScript", 0, 0, 0, 0, 227, 0, 0, 10, 5, 242
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\build\reactPlayerPreview.bundle.js", "JavaScript", 0, 0, 0, 0, 138, 0, 0, 8, 5, 151
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\build\reactPlayerSoundCloud.bundle.js", "JavaScript", 0, 0, 0, 0, 146, 0, 0, 8, 5, 159
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\build\reactPlayerStreamable.bundle.js", "JavaScript", 0, 0, 0, 0, 139, 0, 0, 8, 5, 152
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\build\reactPlayerTwitch.bundle.js", "JavaScript", 0, 0, 0, 0, 132, 0, 0, 9, 5, 146
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\build\reactPlayerVidyard.bundle.js", "JavaScript", 0, 0, 0, 0, 137, 0, 0, 8, 5, 150
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\build\reactPlayerVimeo.bundle.js", "JavaScript", 0, 0, 0, 0, 177, 0, 0, 9, 5, 191
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\build\reactPlayerWistia.bundle.js", "JavaScript", 0, 0, 0, 0, 152, 0, 0, 9, 5, 166
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\build\reactPlayerYouTube.bundle.js", "JavaScript", 0, 0, 0, 0, 223, 0, 0, 8, 5, 236
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\package-lock.json", "JSON", 6820, 0, 0, 0, 0, 0, 0, 0, 1, 6821
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\package.json", "JSON", 43, 0, 0, 0, 0, 0, 0, 0, 1, 44
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 11, 0, 1, 12
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\appStoreContext.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 5, 15
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\AddToPlaylistModal\index.tsx", "TypeScript JSX", 0, 0, 83, 0, 0, 0, 0, 0, 12, 95
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\AddToPlaylistModal\styles.scss", "SCSS", 0, 0, 0, 0, 0, 16, 0, 0, 7, 23
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\AdminPage\ReportView\intex.tsx", "TypeScript JSX", 0, 0, 55, 0, 0, 0, 0, 0, 6, 61
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\AdminPage\ReportView\style.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\AdminPage\VideoItem\index.tsx", "TypeScript JSX", 0, 0, 109, 0, 0, 0, 0, 0, 12, 121
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\AdminPage\VideoItem\style.scss", "SCSS", 0, 0, 0, 0, 0, 35, 0, 0, 15, 50
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\AdminPage\index.tsx", "TypeScript JSX", 0, 0, 144, 0, 0, 0, 0, 0, 13, 157
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\AdminPage\style.scss", "SCSS", 0, 0, 0, 0, 0, 23, 0, 0, 8, 31
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\AppHeader\CreateChannelModal\index.tsx", "TypeScript JSX", 0, 0, 132, 0, 0, 0, 0, 0, 15, 147
"d:\UnicLabs\BYTUBE\BYTUBE\frontend\src\components\AppHeader\CreateChannelModal\style.scss", "SCSS", 0, 0, 0, 0, 0, 31, 0, 0, 13, 44
