Date : 2024-12-18 17:26:03
Directory : d:\UnicLabs\BYTUBE\BYTUBE\frontend
Total : 150 files,  90891 codes, 17577 comments, 14699 blanks, all 123167 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JavaScript         |         16 |     78,686 |     17,577 |     13,576 |    109,839 |
| JSON               |          3 |      6,872 |          0 |          3 |      6,875 |
| TypeScript JSX     |         46 |      3,361 |          0 |        415 |      3,776 |
| SCSS               |         41 |      1,207 |          0 |        477 |      1,684 |
| TypeScript         |         41 |        719 |          0 |        225 |        944 |
| JSON with Comments |          1 |         24 |          0 |          1 |         25 |
| HTML               |          2 |         22 |          0 |          2 |         24 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                 | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                    |        150 |     90,891 |     17,577 |     14,699 |    123,167 |
| . (Files)                                                                                                            |          5 |      6,957 |          0 |          6 |      6,963 |
| build                                                                                                                |         16 |     78,636 |     17,577 |     13,575 |    109,788 |
| public                                                                                                               |          1 |         11 |          0 |          1 |         12 |
| src                                                                                                                  |        128 |      5,287 |          0 |      1,117 |      6,404 |
| src (Files)                                                                                                          |          3 |         54 |          0 |         14 |         68 |
| src\components                                                                                                       |         86 |      4,474 |          0 |        863 |      5,337 |
| src\components\AddToPlaylistModal                                                                                    |          2 |         99 |          0 |         19 |        118 |
| src\components\AdminPage                                                                                             |          6 |        366 |          0 |         55 |        421 |
| src\components\AdminPage (Files)                                                                                     |          2 |        167 |          0 |         21 |        188 |
| src\components\AdminPage\ReportView                                                                                  |          2 |         55 |          0 |          7 |         62 |
| src\components\AdminPage\VideoItem                                                                                   |          2 |        144 |          0 |         27 |        171 |
| src\components\App                                                                                                   |          1 |         13 |          0 |          4 |         17 |
| src\components\AppHeader                                                                                             |         14 |        901 |          0 |        167 |      1,068 |
| src\components\AppHeader (Files)                                                                                     |          2 |        187 |          0 |         47 |        234 |
| src\components\AppHeader\CreateChannelModal                                                                          |          2 |        163 |          0 |         28 |        191 |
| src\components\AppHeader\CreatePlaylistModal                                                                         |          2 |         96 |          0 |         13 |        109 |
| src\components\AppHeader\HeaderDrawer                                                                                |          5 |        280 |          0 |         52 |        332 |
| src\components\AppHeader\HeaderDrawer (Files)                                                                        |          3 |        228 |          0 |         30 |        258 |
| src\components\AppHeader\HeaderDrawer\HeaderDrawerButton                                                             |          2 |         52 |          0 |         22 |         74 |
| src\components\AppHeader\PlaylistModal                                                                               |          3 |        175 |          0 |         27 |        202 |
| src\components\AppHeader\PlaylistModal (Files)                                                                       |          1 |        101 |          0 |          9 |        110 |
| src\components\AppHeader\PlaylistModal\VideoItem                                                                     |          2 |         74 |          0 |         18 |         92 |
| src\components\AuthPage                                                                                              |          9 |        302 |          0 |         75 |        377 |
| src\components\AuthPage (Files)                                                                                      |          1 |         11 |          0 |          3 |         14 |
| src\components\AuthPage\Header                                                                                       |          2 |         15 |          0 |          5 |         20 |
| src\components\AuthPage\Register                                                                                     |          3 |        151 |          0 |         39 |        190 |
| src\components\AuthPage\Signin                                                                                       |          3 |        125 |          0 |         28 |        153 |
| src\components\ChannelPage                                                                                           |          2 |        148 |          0 |         28 |        176 |
| src\components\CommentsViewer                                                                                        |          3 |        258 |          0 |         44 |        302 |
| src\components\CommentsViewer (Files)                                                                                |          2 |        162 |          0 |         32 |        194 |
| src\components\CommentsViewer\CommentItem                                                                            |          1 |         96 |          0 |         12 |        108 |
| src\components\CustomUI                                                                                              |          2 |         31 |          0 |         10 |         41 |
| src\components\CustomUI\Button0                                                                                      |          2 |         31 |          0 |         10 |         41 |
| src\components\GeneralRoutes                                                                                         |          1 |         34 |          0 |          3 |         37 |
| src\components\Logo                                                                                                  |          2 |         23 |          0 |          3 |         26 |
| src\components\SearchPage                                                                                            |          4 |        163 |          0 |         29 |        192 |
| src\components\SearchPage (Files)                                                                                    |          2 |         94 |          0 |         14 |        108 |
| src\components\SearchPage\VideoItem                                                                                  |          2 |         69 |          0 |         15 |         84 |
| src\components\StudioPage                                                                                            |         19 |      1,198 |          0 |        225 |      1,423 |
| src\components\StudioPage (Files)                                                                                    |          3 |         89 |          0 |         20 |        109 |
| src\components\StudioPage\ChannelSettings                                                                            |          2 |        201 |          0 |         36 |        237 |
| src\components\StudioPage\VideosSettings                                                                             |         14 |        908 |          0 |        169 |      1,077 |
| src\components\StudioPage\VideosSettings (Files)                                                                     |          2 |         26 |          0 |          8 |         34 |
| src\components\StudioPage\VideosSettings\VideoCreate                                                                 |          2 |        342 |          0 |         54 |        396 |
